candidate_name,model_variant,feature_set,split,operating_best_f1,pr_auc,roc_auc,precision,recall,f1,threshold,prevalence,rows,illicit,licit
default_dataset_only,default,dataset_only,calibration,0.8777614138438882,0.9908848431702626,0.9979586717630196,0.9884678747940692,0.8695652173913043,0.9252120277563608,0.8872209191322327,0.15935334872979215,4330,690,3640
default_dataset_only,default,dataset_only,operating,0.8777614138438882,0.8821429918605395,0.9637810368534582,0.9867549668874173,0.7904509283819628,0.8777614138438881,0.8872209191322327,0.0703883495145631,5356,377,4979
default_dataset_only,default,dataset_only,test,0.8777614138438882,0.6474122796943252,0.8730052616739603,0.928125,0.566793893129771,0.7037914691943128,0.8872209191322327,0.05254186303018149,9973,524,9449
tuned_dataset_only,tuned,dataset_only,calibration,0.8791848617176128,0.9919724431141457,0.9979180602006688,0.9877300613496932,0.9333333333333333,0.9597615499254843,0.9020976424217224,0.15935334872979215,4330,690,3640
tuned_dataset_only,tuned,dataset_only,operating,0.8791848617176128,0.8769053155616733,0.9599511582599172,0.9741935483870968,0.8010610079575596,0.8791848617176128,0.9020976424217224,0.0703883495145631,5356,377,4979
tuned_dataset_only,tuned,dataset_only,test,0.8791848617176128,0.6421672010326547,0.8550317130372049,0.9115853658536586,0.5706106870229007,0.7018779342723005,0.9020976424217224,0.05254186303018149,9973,524,9449
default_combined,default,combined,calibration,0.8755490483162518,0.9912996715048542,0.9980498487020225,0.9881756756756757,0.8478260869565217,0.9126365054602185,0.8887988328933716,0.15935334872979215,4330,690,3640
default_combined,default,combined,operating,0.8755490483162518,0.8813981297134024,0.9638684064583185,0.9771241830065359,0.7931034482758621,0.8755490483162518,0.8887988328933716,0.0703883495145631,5356,377,4979
default_combined,default,combined,test,0.8755490483162518,0.6417711479691912,0.8647379988512053,0.9337539432176656,0.5648854961832062,0.703923900118906,0.8887988328933716,0.05254186303018149,9973,524,9449
tuned_combined,tuned,combined,calibration,0.8781204111600588,0.992500395917291,0.9982262302914477,0.9878971255673222,0.946376811594203,0.9666913397483345,0.912807822227478,0.15935334872979215,4330,690,3640
tuned_combined,tuned,combined,operating,0.8781204111600588,0.8779517751661653,0.9580764409458719,0.9835526315789473,0.7931034482758621,0.8781204111600588,0.912807822227478,0.0703883495145631,5356,377,4979
tuned_combined,tuned,combined,test,0.8781204111600588,0.6425248720917076,0.8555305743408366,0.939873417721519,0.566793893129771,0.7071428571428572,0.912807822227478,0.05254186303018149,9973,524,9449
tuned_combined_with_snapshot_size,tuned,combined_with_snapshot_size,calibration,0.8769898697539799,0.9921870338033478,0.998295110686415,0.989409984871407,0.9478260869565217,0.9681717246484086,0.8661419153213501,0.15935334872979215,4330,690,3640
tuned_combined_with_snapshot_size,tuned,combined_with_snapshot_size,operating,0.8769898697539799,0.8795072673760299,0.9622131786394101,0.964968152866242,0.8037135278514589,0.8769898697539797,0.8661419153213501,0.0703883495145631,5356,377,4979
tuned_combined_with_snapshot_size,tuned,combined_with_snapshot_size,test,0.8769898697539799,0.6459547245072172,0.8678797142393193,0.8826979472140762,0.5744274809160306,0.6959537572254335,0.8661419153213501,0.05254186303018149,9973,524,9449
