budget,labeled_population,alerts,true_positives,false_positives,false_negatives,precision,recall,f1,false_positives_per_true_positive,lift_over_labeled_prevalence,labeled_prevalence,marginal_alerts_per_additional_true_positive,selected_on_operating_block
0.01,5356,54,54,0,323,1.0,0.14323607427055704,0.25058004640371234,0.0,14.206896551724139,0.0703883495145631,,False
0.05,5356,268,267,1,110,0.996268656716418,0.7082228116710876,0.827906976744186,0.003745318352059925,14.153885743695318,0.0703883495145631,1.0046948356807512,True
0.1,5356,536,318,218,59,0.5932835820895522,0.843501326259947,0.696604600219058,0.6855345911949685,8.428718476582604,0.0703883495145631,5.254901960784314,False
0.2,5356,1072,334,738,43,0.31156716417910446,0.8859416445623343,0.4610075914423741,2.2095808383233533,4.426402470406588,0.0703883495145631,33.5,False
