feature,importance_mean,importance_std
feature_148,0.06761937217331385,0.0028270179062472823
feature_143,0.05470035200251281,0.0019385940581357116
feature_149,0.04514612993338939,0.0022937718932039444
feature_119,0.044367385101907776,0.0017244022687913523
feature_109,0.043362956063168916,0.0031133673101412427
feature_52,0.03745081229982901,0.0029944210924506393
feature_142,0.0333639853634004,0.0009747399736726823
feature_89,0.032951993127140734,0.0036148100768445945
feature_145,0.03138247373075327,0.002354318587907848
feature_144,0.02579571689453609,0.003068692829726755
feature_77,0.025760660793800783,0.0030700967738645935
feature_155,0.024233800969794654,0.00209602193072142
feature_115,0.02399722326824403,0.0015063358412849015
feature_43,0.023425315382092464,0.0024491510820866106
feature_78,0.023237650581075645,0.0028093438774863424
feature_53,0.022323615456993302,0.00270799632824947
feature_92,0.021508016376599375,0.0016644952170544497
feature_47,0.021092576456360045,0.0023013448439973346
feature_40,0.020439951284319625,0.0027006881760629218
feature_79,0.020202609654027627,0.0026776003331292274
feature_41,0.019460015317572566,0.002198751910177103
feature_46,0.019305847281347596,0.002931696239884484
feature_49,0.01923947500506603,0.002506392114291034
feature_84,0.018821530583183137,0.002666590761018805
feature_93,0.018795004656800163,0.001699017473060499
feature_83,0.018418406460948986,0.0024972810060951115
feature_163,0.01812330671512543,0.0029400673236297217
feature_55,0.01785521354483708,0.0020134699674241394
feature_140,0.015748903852635533,0.0011193647698634526
feature_108,0.015378871858198057,0.0012000470651638204
feature_2,0.015206373271458056,0.0036719547857610516
feature_97,0.015203554559404494,0.0015884779635138614
feature_85,0.014993659674618562,0.0025172243985551444
feature_141,0.014051477135610571,0.0015869776319767232
feature_120,0.01399465269542823,0.0014032078721479746
feature_137,0.012229744745489685,0.001203294143623326
feature_118,0.01130160087895199,0.0014899022397589978
feature_146,0.011009644701870751,0.0011347602152894083
feature_80,0.010041326722274169,0.0009640758396506268
feature_45,0.009938463429271132,0.0021053853399733893
feature_1,0.009644168663260427,0.0027203670546603028
feature_94,0.008674382006291614,0.0016006787705655672
feature_117,0.00853897658475455,0.0010557760813352738
feature_28,0.008341868714492797,0.0030498931797547815
feature_22,0.008341858173477951,0.0030503208467521983
feature_128,0.008273959669404043,0.0007985849470580164
feature_81,0.008110048033777966,0.001028949144526475
feature_50,0.007446259212095238,0.0020771665027119438
feature_116,0.006770156964759974,0.0007487168342384433
feature_17,0.006755477917729469,0.002445932625997166
feature_18,0.006605588551602789,0.002058865570211957
feature_25,0.0063350011817091155,0.0023604488440994932
feature_31,0.006334547291710457,0.002360426619287191
feature_59,0.006302426293988084,0.0023209616252713914
feature_65,0.006299694552174243,0.0023205632759947517
feature_162,0.006202724756040301,0.0017732904099090688
feature_125,0.005814196750570507,0.001820962136056347
out_degree,0.005783571084493055,0.0009318742504992269
feature_88,0.0056943760589744956,0.0012303107084670464
feature_44,0.005488662998951621,0.0015019234427604922
total_degree,0.005343685004245186,0.000783155396331138
feature_69,0.005307656675302039,0.0006852631450974593
feature_23,0.005301706072715987,0.0019442084673259531
feature_29,0.005300265019416989,0.001943931994045342
feature_156,0.005287787006544675,0.0012847170514398544
feature_151,0.005224026377209654,0.0006698627221181897
feature_164,0.005142072006211171,0.0012136328775457725
feature_127,0.005136569303269653,0.0016060307401312439
feature_86,0.005112270327093185,0.0007170818323263869
feature_57,0.004992429378599989,0.0011048163504417524
feature_147,0.004881006418299377,0.0014444326712413692
feature_114,0.004658543126256931,0.0009135524649682332
feature_159,0.004561974569356064,0.0005397088169836486
feature_9,0.004374012158485855,0.0020345213360881726
feature_38,0.00410523299178038,0.001479868546163454
feature_101,0.00396219368345917,0.0003271951104840697
feature_4,0.003948373825416568,0.0013036043292981281
feature_19,0.003916146319655925,0.001289069466600619
feature_13,0.0038192676829638646,0.0010983919717705815
feature_68,0.0037029171506980153,0.0005482405335440106
feature_39,0.0036335596251818062,0.0011386230798961958
feature_131,0.003583859998549044,0.0023013464973865396
feature_60,0.0033417409076854252,0.0012997502845149159
feature_66,0.00333766113719067,0.0012985203662959754
feature_51,0.00328313338772826,0.0014292226566615912
feature_157,0.003013172770964184,0.0003979618488938503
feature_130,0.00299696466180219,0.000882755751831766
